block_depths,filters_start,dense_units,dropout_rate,val_accuracy,val_loss,recall,f1_score,model_path,train_time_sec
"(3, 4, 6)",32,512,0.5,0.94586980342865,0.1589988321065902,0.9329518038489591,0.928860709996369,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(3, 4, 6)_f32_d512_dr50.h5",1695.8102972507477
"(3, 4, 6)",32,1024,0.5,0.8493580222129822,0.4000422954559326,0.9023172305448016,0.8972828209563131,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(3, 4, 6)_f32_d1024_dr50.h5",1062.188393354416
"(4, 6, 8)",8,256,0.5,0.9243040680885316,0.2087299227714538,0.9042248779666724,0.9059276539531746,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(4, 6, 8)_f8_d256_dr50.h5",2056.9610340595245
"(4, 6, 8)",8,512,0.5,0.9102147221565248,0.2433994561433792,0.895079391797116,0.9124864153749356,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(4, 6, 8)_f8_d512_dr50.h5",2201.5268416404724
"(4, 6, 8)",8,1024,0.5,0.898761510848999,0.2855678200721741,0.8618638837457219,0.8974381444804721,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(4, 6, 8)_f8_d1024_dr50.h5",1787.1500971317291
"(4, 6, 8)",16,256,0.5,0.9372798800468445,0.19217225909233093,0.9246479268361106,0.9218033337062311,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(4, 6, 8)_f16_d256_dr50.h5",2635.0464231967926
"(4, 6, 8)",16,512,0.5,0.9393023252487183,0.17664872109889984,0.928407114402738,0.9226351445537929,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(4, 6, 8)_f16_d512_dr50.h5",2044.179533958435
"(4, 6, 8)",16,1024,0.5,0.9138052463531494,0.2761605679988861,0.8257307972844078,0.8897016594625639,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(4, 6, 8)_f16_d1024_dr50.h5",1915.3947539329529
"(4, 6, 8)",32,256,0.5,0.9249630570411682,0.19828850030899048,0.9249284632216799,0.9303572436367741,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(4, 6, 8)_f32_d256_dr50.h5",1688.4642088413239
"(4, 6, 8)",32,512,0.5,0.9458243250846863,0.1703183501958847,0.9396846771026202,0.9317903638589073,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(4, 6, 8)_f32_d512_dr50.h5",2538.777684688568
"(4, 6, 8)",32,1024,0.5,0.9455971121788025,0.17919261753559113,0.934410593053919,0.9313275919919473,"/content/drive/MyDrive/CU/Deep Learning Projects/resnet_top_models/resnet_b(4, 6, 8)_f32_d1024_dr50.h5",2296.0416419506073
